document_type,label,type,role,tier,core_key,required,source,note
purchase_agreement,buyer_name,text,Buyer1,core,buyer_name,TRUE,form_300,FORM 300 buyer_name (Buyer1).
purchase_agreement,seller_name,text,Seller1,core,,TRUE,form_300,FORM 300 seller_name (Seller1).
purchase_agreement,effective_date,text,BuyerAgent,core,offer_date,TRUE,form_300,FORM 300 effective_date = offer/effective date of agreement.
purchase_agreement,property_address,text,BuyerAgent,core,,TRUE,form_300,FORM 300 property_address.
purchase_agreement,property_city,text,BuyerAgent,core,city,TRUE,form_300,FORM 300 property_city.
purchase_agreement,property_county,text,BuyerAgent,common,,FALSE,form_300,FORM 300 property_county.
purchase_agreement,property_zip,text,BuyerAgent,core,zip,TRUE,form_300,FORM 300 property_zip.
purchase_agreement,legal_description,text,BuyerAgent,core,legal_description,TRUE,form_300,FORM 300 legal_description.
purchase_agreement,ppin,text,BuyerAgent,core,parcel_or_ppin,TRUE,form_300,FORM 300 ppin = parcel/PPIN.
purchase_agreement,mls_id,text,BuyerAgent,common,,FALSE,form_300,FORM 300 mls_id.
purchase_agreement,purchase_price,text,BuyerAgent,core,purchase_price,TRUE,form_300,FORM 300 purchase_price.
purchase_agreement,listing_agent,text,BuyerAgent,core,,TRUE,form_300,"FORM 300 listing_agent name. core_key nulled: listing agent is the counterparty, not the RTF user (no scalar collision with buyer_agent)."
purchase_agreement,buyer_agent,text,BuyerAgent,core,agent_name,TRUE,form_300,FORM 300 buyer_agent name.
purchase_agreement,earnest_money_amount,text,BuyerAgent,core,earnest_money_amount,TRUE,form_300,FORM 300 earnest_money_amount.
purchase_agreement,loan_amount,text,BuyerAgent,common,loan_amount_or_pct,FALSE,form_300,FORM 300 loan_amount.
purchase_agreement,other_financing_description,text,BuyerAgent,common,,FALSE,form_300,FORM 300 other_financing_description.
purchase_agreement,finance_contingency_date,text,BuyerAgent,common,,FALSE,form_300,FORM 300 finance_contingency_date.
purchase_agreement,seller_concession_amount,text,BuyerAgent,common,,FALSE,form_300,FORM 300 seller_concession_amount.
